1line-aa,,
3box,github.com/3box/3box-js.git,c3f36e65ec6c4d310dae5fe043b71933918804a3
7zip-min,github.com/onikienko/7zip-min.git,018bb9469dc873dd71376d83b6090c2f53c0c111
a-big-triangle,github.com/mikolalysenko/a-big-triangle.git,96821cea333566f619cd7bc977cfe85a1bfdfb1e
a2hs.js,github.com/koddr/a2hs.js.git,51cff7f72d0ec2fc29a0ef4eced8d9ba4762ab31
abbrev,github.com/isaacs/abbrev-js.git,7136d4d95449dc44115d4f78b80ec907724f64e0
abs,github.com/IonicaBizau/abs.git,6cca643ab28c01b22654f6c6f6924b0c5f6b9794
abs-svg-path,github.com/jkroso/abs-svg-path.git,d6c6750e23d3a7bd94555d8a5490a5b4386b408c
absinthe__socket,,
absinthe__socket-apollo-link,,
absolute,github.com/bahamas10/node-absolute.git,5bbd13716944dbda77d7b7bd07c41c0aab8b96e3
absolute-url,github.com/zazukoians/absolute-url.git,9a74b699c2b7f26acff6638a0e68a695e7dc4a04
abstract-leveldown,github.com/Level/abstract-leveldown.git,8ca1de858a6c98d9de4eb1063aba670d57df7afa
acc-wizard,,
accedo__accedo-one,,
accept-language-parser,github.com/opentable/accept-language-parser.git,3a1133a42889482e768f01d0b4e4384bb14aa762
accepts,github.com/jshttp/accepts.git,f4a54dfbc147808b2ed89428a52db858be0838d5
accessibility,github.com/ranbuch/accessibility.git,e1f9e12a4252865febd1addff5919535a57f4f4f
accounting,github.com/openexchangerates/accounting.js.git,9b73d760f20fb5bd87a570f7b7ecf9af9cf5b76c
accurate-interval,github.com/klyngbaek/accurate-interval.git,7e19dd4877c8318d5d86118978b4fc4c56276809
ace,,
ace-diff,github.com/ace-diff/ace-diff.git,14c7c708a706ecfebbe8864e686c3181d5ff74c0
ackee-tracker,github.com/electerious/ackee-tracker.git,1e07ab77ecaab0e4cc21fd9e6405f419dba916eb
acl,github.com/optimalbits/node_acl.git,3022da6755b3a61ea029852aafa549536bbf1beb
acorn,github.com/acornjs/acorn.git,44f09254214f9fa9820af95817d38739a6c51cd0
actioncable,github.com/rails/rails.git,601e31b362b2f59bed988de716f4b931b2aa0950
activedirectory2,github.com/jsumners/node-activedirectory.git,e29af55a1e4f63d136a2b918366935ac05eb3762
activestorage,github.com/rails/rails.git,601e31b362b2f59bed988de716f4b931b2aa0950
activex-access,,
activex-adodb,,
activex-adox,,
activex-dao,,
activex-diskquota,,
activex-excel,,
activex-faxcomexlib,,
activex-infopath,,
activex-interop,,
activex-iwshruntimelibrary,,
activex-libreoffice,,
activex-msforms,,
activex-mshtml,,
activex-msxml2,,
activex-office,,
activex-outlook,,
activex-powerpoint,,
activex-scripting,,
activex-shdocvw,,
activex-shell,,
activex-stdole,,
activex-vbide,,
activex-wia,,
activex-word,,
adal-angular,github.com/AzureAD/azure-activedirectory-library-for-js.git,24edd5e21f2b263b650f365d5d5f963d786eeb19
add-zero,github.com/rafaelrinaldi/add-zero.git,b0bc8b4f6c383b320fd1da2561626790483aa996
add2home,,
addressparser,github.com/andris9/addressparser.git,1b96765ee4463dabc6baf87a852f8e3b9dbc79de
adeira__graphql-global-id,,
adeira__graphql-resolve-wrapper,,
adeira__js,,
adeira__murmur-hash,,
adeira__test-utils,,
